model,recall@10,lo,hi,recall@50,hit@10,n_plants
rank_n,0.1041102317764484,0.09650519925692905,0.11155773231917226,0.3143248725963596,0.5121615419917394,2179
rank_n_tax_ldelta,0.1837507089701704,0.17281391190932627,0.1950381421485594,0.38972030376216615,0.6461679669573198,2179
gbm_geo_tuned,0.21455245236149753,0.20416707441826812,0.22584046334732205,0.46658715723393207,0.7012391005048187,2179
twotower_bioclip,0.20744654817091737,0.19707513753390332,0.21830275637709937,0.4372899607516544,0.6847177604405691,2179
