plant,pollinator,first_year,last_year,n_dated
Abronia angustifolia,Abaeis nicippe,2026.0,2026.0,1
Abronia angustifolia,Polites sabuleti,2013.0,2013.0,1
Abronia fragrans,Neogrotella confusa,2019.0,2019.0,1
Abronia latifolia,Anthophora terminalis,2025.0,2025.0,1
Abronia latifolia,Apis mellifera,2018.0,2024.0,3
Abronia latifolia,Battus philenor,2018.0,2018.0,1
Abronia latifolia,Bombus californicus,2024.0,2024.0,5
Abronia latifolia,Bombus fervidus,2023.0,2023.0,2
Abronia latifolia,Bombus flavifrons,2023.0,2023.0,3
Abronia latifolia,Bombus melanopygus,2023.0,2023.0,1
Abronia latifolia,Bombus vosnesenskii,2022.0,2026.0,2
Abronia latifolia,Habropoda miserabilis,2024.0,2024.0,1
Abronia latifolia,Hylephila phyleus,2019.0,2019.0,2
Abronia latifolia,Hyles gallii,2019.0,2019.0,1
Abronia latifolia,Lon melane,2019.0,2019.0,1
Abronia latifolia,Osmia bucephala,2024.0,2024.0,3
Abronia maritima,Agapostemon texanus,2024.0,2024.0,1
Abronia maritima,Anthophora urbana,2019.0,2020.0,3
Abronia maritima,Apis mellifera,2014.0,2014.0,1
Abronia maritima,Bombus californicus,2018.0,2022.0,6
Abronia maritima,Bombus sonorus,2015.0,2023.0,20
Abronia maritima,Bombus vosnesenskii,2021.0,2021.0,1
Abronia maritima,Colias eurytheme,2015.0,2018.0,3
Abronia maritima,Danaus plexippus,2015.0,2015.0,1
Abronia maritima,Plutella xylostella,2015.0,2015.0,2
Abronia maritima,Vanessa cardui,2023.0,2023.0,1
Abronia umbellata,Apis mellifera,2022.0,2022.0,1
Abronia umbellata,Atalopedes campestris,2017.0,2017.0,1
Abronia umbellata,Augochlorella pomoniella,2023.0,2025.0,2
Abronia umbellata,Bombus sonorus,2023.0,2023.0,1
Abronia umbellata,Bombus vosnesenskii,2024.0,2024.0,2
Abronia umbellata,Copestylum fraudulentum,2022.0,2022.0,1
Abronia umbellata,Heterostylum robustum,2024.0,2024.0,1
Abronia umbellata,Hyles lineata,2023.0,2023.0,1
Abronia umbellata,Lon melane,2023.0,2023.0,2
Abronia umbellata,Papilio rutulus,2011.0,2011.0,2
Abronia umbellata,Vanessa cardui,2017.0,2017.0,1
Abronia villosa,Abaeis nicippe,2021.0,2023.0,4
Abronia villosa,Altica torquata,2017.0,2017.0,1
Abronia villosa,Anthophora urbana,2025.0,2025.0,1
Abronia villosa,Apis mellifera,2010.0,2024.0,9
Abronia villosa,Autographa californica,2019.0,2019.0,1
Abronia villosa,Calypte costae,2017.0,2017.0,2
Abronia villosa,Chlosyne acastus,2019.0,2019.0,1
Abronia villosa,Copestylum haagii,2023.0,2023.0,1
Abronia villosa,Cysteodemus armatus,2023.0,2023.0,1
Abronia villosa,Danaus gilippus,2019.0,2022.0,2
Abronia villosa,Danaus plexippus,2023.0,2024.0,3
Abronia villosa,Eleodes armata,2020.0,2020.0,1
Abronia villosa,Eristalis tenax,2023.0,2023.0,1
Abronia villosa,Eupeodes volucris,2020.0,2020.0,1
Abronia villosa,Euproserpinus phaeton,2019.0,2023.0,3
Abronia villosa,Hylephila phyleus,2023.0,2023.0,2
Abronia villosa,Hyles lineata,2010.0,2026.0,98
Abronia villosa,Lytta auriculata,2015.0,2024.0,4
Abronia villosa,Lytta stygica,2019.0,2020.0,2
Abronia villosa,Papilio rutulus,2022.0,2022.0,1
Abronia villosa,Phoebis agarithe,2023.0,2026.0,2
Abronia villosa,Pontia protodice,2019.0,2025.0,3
Abronia villosa,Vanessa cardui,2009.0,2026.0,53
Abutilon abutiloides,Brachycoryna pumila,2024.0,2025.0,2
Abutilon abutiloides,Brachymyrmex patagonicus,2024.0,2024.0,1
Abutilon abutiloides,Erynnis funeralis,2025.0,2025.0,1
Abutilon abutiloides,Lerodea eufala,2025.0,2025.0,1
Abutilon abutiloides,Systasea pulverulenta,2024.0,2025.0,2
Abutilon hypoleucum,Heliopetes laviana,2025.0,2025.0,1
Abutilon incanum,Agaeocera scintillans,2022.0,2022.0,1
Abutilon theophrasti,Acanthoscelides obtectus,,,0
Abutilon theophrasti,Agapostemon texanus,,,0
Abutilon theophrasti,Andrena erythrogaster,,,0
Abutilon theophrasti,Andrena quintilis,,,0
Abutilon theophrasti,Anthophora walshii,,,0
Abutilon theophrasti,Apis mellifera,2015.0,2015.0,1
Abutilon theophrasti,Augochlora pura,2024.0,2024.0,1
Abutilon theophrasti,Bombus impatiens,2020.0,2020.0,1
Abutilon theophrasti,Brachysomida bivittata,,,0
Abutilon theophrasti,Eristalis flavipes,,,0
Abutilon theophrasti,Heriades leavitti,,,0
Abutilon theophrasti,Melissodes desponsus,,,0
Abutilon theophrasti,Onthophagus pennsylvanicus,,,0
Abutilon theophrasti,Parhelophilus divisus,,,0
Abutilon theophrasti,Stelis lateralis,,,0
Abutilon trisulcatum,Systasea pulverulenta,2017.0,2017.0,1
Acacia longifolia,Ancistrocerus adiabatus,2025.0,2025.0,1
Acacia longifolia,Apis mellifera,2025.0,2025.0,1
Acacia longifolia,Scolia bicincta,2025.0,2025.0,1
Acacia longifolia,Vespula pensylvanica,2020.0,2020.0,3
Acaciella angustissima,Echinargus isola,2015.0,2015.0,1
Acaciella angustissima,Eulonchopria punctatissima,2023.0,2023.0,1
Acaciella angustissima,Hylephila phyleus,2016.0,2016.0,1
Acaciella angustissima,Junonia coenia,2016.0,2016.0,1
Acaciella angustissima,Strymon melinus,2013.0,2022.0,3
Acalypha persimilis,Hylephila phyleus,2019.0,2019.0,1
Acalypha rhomboidea,Phyciodes tharos,2018.0,2018.0,1
Acamptopappus sphaerocephalus,Apis mellifera,2020.0,2023.0,2
Acamptopappus sphaerocephalus,Brephidium exilis,2015.0,2020.0,3
Acamptopappus sphaerocephalus,Coccinella septempunctata,2020.0,2020.0,1
Acamptopappus sphaerocephalus,Cysteodemus armatus,2011.0,2020.0,4
Acamptopappus sphaerocephalus,Epicauta wheeleri,2023.0,2023.0,1
Acamptopappus sphaerocephalus,Eupompha elegans,2015.0,2019.0,2
Acamptopappus sphaerocephalus,Papilio polyxenes,2023.0,2023.0,1
Acamptopappus sphaerocephalus,Physocephala texana,2021.0,2021.0,1
Acamptopappus sphaerocephalus,Pontia protodice,2019.0,2023.0,4
Acamptopappus sphaerocephalus,Vanessa cardui,2019.0,2019.0,1
Acanthocereus tetragonus,Apis mellifera,2022.0,2022.0,1
Acer circinatum,Apis mellifera,2025.0,2025.0,1
Acer circinatum,Megachile melanophaea,2023.0,2023.0,1
Acer ginnala,Andrena prunorum,2017.0,2017.0,1
Acer ginnala,Bombus impatiens,2016.0,2016.0,1
Acer ginnala,Eristalis tenax,2017.0,2017.0,1
Acer glabrum,Limenitis weidemeyerii,2019.0,2019.0,1
Acer macrophyllum,Antheraea polyphemus,2024.0,2024.0,1
Acer macrophyllum,Apis mellifera,2024.0,2024.0,2
Acer macrophyllum,Bombus melanopygus,2023.0,2024.0,2
Acer macrophyllum,Bombus sitkensis,2024.0,2026.0,2
Acer macrophyllum,Bombus vosnesenskii,2023.0,2024.0,3
Acer macrophyllum,Harmonia axyridis,2024.0,2024.0,1
Acer macrophyllum,Polygonia satyrus,2024.0,2024.0,1
Acer macrophyllum,Psyllobora vigintimaculata,2025.0,2025.0,2
Acer negundo,Acanthoscelides obtectus,,,0
Acer negundo,Acronicta americana,2025.0,2025.0,2
Acer negundo,Acronicta retardata,2023.0,2023.0,1
Acer negundo,Aedes vexans,,,0
Acer negundo,Agapostemon texanus,,,0
Acer negundo,Agapostemon virescens,2025.0,2025.0,1
Acer negundo,Andrena erythrogaster,,,0
Acer negundo,Andrena imitatrix,2022.0,2022.0,1
Acer negundo,Andrena simplex,,,0
Acer negundo,Anthophora walshii,,,0
Acer negundo,Apis mellifera,2023.0,2023.0,2
Acer negundo,Asterocampa celtis,2022.0,2022.0,1
Acer negundo,Callopistromyia strigula,2021.0,2021.0,1
Acer negundo,Caloptilia negundella,2018.0,2018.0,1
Acer negundo,Camponotus pennsylvanicus,2023.0,2023.0,1
Acer negundo,Colletes inaequalis,2022.0,2022.0,1
Acer negundo,Contarinia negundinis,2023.0,2024.0,4
Acer negundo,Cryptorhopalum triste,,,0
Acer negundo,Disonycha xanthomelas,2023.0,2023.0,1
Acer negundo,Falsomordellistena pubescens,2024.0,2024.0,1
Acer negundo,Harmonia axyridis,2022.0,2026.0,3
Acer negundo,Hypena scabra,2022.0,2022.0,1
Acer negundo,Laphria grossa,2025.0,2025.0,1
Acer negundo,Lasioglossum cinctipes,,,0
Acer negundo,Megarhyssa atrata,2019.0,2019.0,1
Acer negundo,Megarhyssa greenei,2019.0,2019.0,3
Acer negundo,Megarhyssa macrura,2019.0,2019.0,1
Acer negundo,Neoclytus acuminatus,2023.0,2023.0,1
Acer negundo,Nomada illinoensis,,,0
Acer negundo,Olethreutes astrologana,2023.0,2023.0,1
Acer negundo,Olethreutes fasciatana,2023.0,2023.0,1
Acer negundo,Orgyia leucostigma,2021.0,2026.0,5
Acer negundo,Parhelophilus divisus,,,0
Acer negundo,Pedilus lugubris,2025.0,2025.0,1
Acer negundo,Pentaria trifasciata,,,0
Acer negundo,Physocephala texana,,,0
Acer negundo,Polygonia interrogationis,2019.0,2019.0,1
Acer negundo,Prenolepis imparis,2023.0,2024.0,4
Acer negundo,Promachus hinei,2025.0,2025.0,1
Acer negundo,Psectrotanypus dyari,2025.0,2025.0,1
Acer negundo,Pseudopanurgus labrosus,,,0
Acer negundo,Tremex columba,2001.0,2001.0,1
Acer negundo,Tritoma mimetica,2025.0,2025.0,1
Acer negundo,Valgus canaliculatus,,,0
Acer negundo,Xylocopa virginica,2026.0,2026.0,1
Acer pensylvanicum,Celastrina lucia,2025.0,2025.0,1
Acer platanoides,Andrena carlini,2022.0,2022.0,1
Acer platanoides,Andrena imitatrix,2022.0,2022.0,1
Acer platanoides,Andrena rufosignata,2024.0,2024.0,3
Acer platanoides,Andrena vicina,2014.0,2014.0,1
Acer platanoides,Bibio slossonae,2016.0,2016.0,1
Acer platanoides,Bombus impatiens,2020.0,2020.0,1
Acer platanoides,Campaea perlata,2017.0,2017.0,1
Acer platanoides,Ceratina calcarata,2023.0,2023.0,1
Acer platanoides,Colletes inaequalis,2022.0,2025.0,5
Acer platanoides,Cycloneda polita,2026.0,2026.0,1
Acer platanoides,Eristalinus aeneus,2022.0,2022.0,1
Acer platanoides,Eupeodes americanus,2025.0,2025.0,1
Acer platanoides,Eupeodes volucris,2026.0,2026.0,1
Acer platanoides,Nephrotoma alterna,2023.0,2023.0,1
Acer platanoides,Nomada maculata,2024.0,2024.0,1
Acer platanoides,Nymphalis antiopa,2021.0,2021.0,1
Acer platanoides,Osmia lignaria,2019.0,2019.0,1
Acer platanoides,Phigalia strigataria,2019.0,2019.0,1
Acer platanoides,Polistes dominula,2026.0,2026.0,1
Acer platanoides,Polygonia comma,2025.0,2025.0,1
Acer platanoides,Prenolepis imparis,2025.0,2025.0,1
Acer platanoides,Saperda discoidea,2020.0,2020.0,1
Acer platanoides,Tremex columba,2021.0,2021.0,1
Acer platanoides,Vanessa atalanta,2019.0,2024.0,3
Acer platanoides,Vespula maculifrons,2022.0,2022.0,1
Acer platanoides,Xylocopa virginica,2018.0,2025.0,14
Acer pseudoplatanus,Andrena milwaukeensis,2020.0,2020.0,1
Acer pseudoplatanus,Synanthedon acerrubri,2017.0,2017.0,1
Acer rubrum,Acericecis ocellaris,2022.0,2022.0,3
Acer rubrum,Acronicta americana,2023.0,2025.0,4
Acer rubrum,Acronicta retardata,2023.0,2024.0,2
Acer rubrum,Alsophila pometaria,2014.0,2025.0,4
Acer rubrum,Amphipyra pyramidoides,2022.0,2022.0,1
Acer rubrum,Andrena frigida,2022.0,2022.0,2
Acer rubrum,Andrena vicina,2018.0,2018.0,1
Acer rubrum,Apis mellifera,2022.0,2026.0,8
Acer rubrum,Archilochus colubris,2026.0,2026.0,2
Acer rubrum,Arogalea cristifasciella,2018.0,2023.0,2
Acer rubrum,Atomosia puella,2024.0,2024.0,1
Acer rubrum,Bombus impatiens,2022.0,2022.0,2
Acer rubrum,Bombus terricola,2021.0,2021.0,1
Acer rubrum,Caloptilia bimaculatella,2017.0,2017.0,1
Acer rubrum,Camponotus subbarbatus,2025.0,2025.0,1
Acer rubrum,Carabus granulatus,2024.0,2024.0,1
Acer rubrum,Ceratina calcarata,2021.0,2021.0,1
Acer rubrum,Charidotella sexpunctata,2020.0,2020.0,1
Acer rubrum,Colletes inaequalis,2016.0,2026.0,32
Acer rubrum,Cyrtophorus verrucosus,2023.0,2023.0,1
Acer rubrum,Dicymolomia julianalis,2024.0,2024.0,1
Acer rubrum,Diprion similis,2024.0,2024.0,2
Acer rubrum,Elephantomyia westwoodi,2024.0,2024.0,1
Acer rubrum,Epicallima argenticinctella,2024.0,2024.0,1
Acer rubrum,Eudryas unio,2020.0,2020.0,1
Acer rubrum,Eupeodes americanus,2023.0,2026.0,3
Acer rubrum,Euwallacea validus,2021.0,2021.0,1
Acer rubrum,Falsomordellistena pubescens,2016.0,2016.0,1
Acer rubrum,Glaucolepis saccharella,2020.0,2020.0,1
Acer rubrum,Ischyrus quadripunctatus,2023.0,2023.0,1
Acer rubrum,Lasioglossum coeruleum,2021.0,2021.0,2
Acer rubrum,Libytheana carinenta,2026.0,2026.0,1
Acer rubrum,Macaria pustularia,2024.0,2024.0,1
Acer rubrum,Machimia tentoriferella,2024.0,2024.0,1
Acer rubrum,Madoniella dislocata,2020.0,2020.0,1
Acer rubrum,Minettia magna,2020.0,2020.0,1
Acer rubrum,Nymphalis antiopa,2021.0,2026.0,4
Acer rubrum,Orgyia leucostigma,2018.0,2018.0,1
Acer rubrum,Orthosia hibisci,2023.0,2023.0,1
Acer rubrum,Osmia lignaria,2018.0,2021.0,10
Acer rubrum,Parallelia bistriaris,2024.0,2025.0,2
Acer rubrum,Photinus corrusca,2024.0,2024.0,1
Acer rubrum,Photinus pyralis,2024.0,2024.0,1
Acer rubrum,Polistes fuscatus,2016.0,2024.0,4
Acer rubrum,Priocnemis minorata,2020.0,2020.0,1
Acer rubrum,Pseudoedophrys hilleri,2019.0,2024.0,3
Acer rubrum,Scathophaga furcata,2019.0,2019.0,1
Acer rubrum,Sericomyia chrysotoxoides,2025.0,2025.0,1
Acer rubrum,Solenopsis invicta,2022.0,2022.0,1
Acer rubrum,Syneches simplex,2025.0,2025.0,1
Acer rubrum,Thaumatomyia glabra,2015.0,2015.0,1
Acer rubrum,Vanessa virginiensis,2017.0,2017.0,1
Acer rubrum,Xylesthia pruniramiella,2020.0,2024.0,2
Acer rubrum,Xylocopa virginica,2022.0,2022.0,1
Acer saccharinum,Acronicta americana,2022.0,2022.0,1
Acer saccharinum,Andrena erythrogaster,,,0
Acer saccharinum,Andrena quintilis,,,0
Acer saccharinum,Anthidium maculifrons,,,0
Acer saccharinum,Anthophora walshii,,,0
Acer saccharinum,Apis mellifera,2022.0,2024.0,2
Acer saccharinum,Astata unicolor,,,0
Acer saccharinum,Bibio femoratus,,,0
Acer saccharinum,Bombus impatiens,2022.0,2022.0,1
Acer saccharinum,Camponotus pennsylvanicus,2021.0,2021.0,1
Acer saccharinum,Ceratina dupla,,,0
Acer saccharinum,Danaus plexippus,2019.0,2019.0,1
Acer saccharinum,Eugnoriste occidentalis,,,0
Acer saccharinum,Heringia salax,,,0
Acer saccharinum,Lasioglossum cinctipes,,,0
Acer saccharinum,Lasioglossum illinoense,,,0
Acer saccharinum,Megacyllene decora,,,0
Acer saccharinum,Nomada superba,,,0
Acer saccharinum,Psyllobora vigintimaculata,2025.0,2025.0,1
Acer saccharinum,Sandalus niger,2021.0,2021.0,1
Acer saccharinum,Syrphus ribesii,,,0
Acer saccharinum,Toxomerus geminatus,2019.0,2019.0,1
Acer saccharinum,Triepeolus cressonii,,,0
Acer saccharum,Acronicta retardata,2018.0,2018.0,1
Acer saccharum,Aphaenogaster tennesseensis,2024.0,2024.0,1
Acer saccharum,Bombus,2023.0,2023.0,1
Acer saccharum,Camponotus pennsylvanicus,2024.0,2024.0,1
Acer saccharum,Colletes inaequalis,2021.0,2022.0,2
Acer saccharum,Cyrtepistomus castaneus,2017.0,2017.0,1
Acer saccharum,Enoclerus nigripes,2026.0,2026.0,1
Acer saccharum,Hypoprepia fucosa,2025.0,2025.0,1
Acer saccharum,Lasioglossum obscurum,2026.0,2026.0,1
Acer saccharum,Lithophane georgii,2020.0,2020.0,1
Acer saccharum,Paraclemensia acerifoliella,2023.0,2023.0,1
Acer saccharum,Prenolepis imparis,2022.0,2023.0,2
Acer spicatum,Analeptura lineola,2021.0,2021.0,1
Acer spicatum,Andrena milwaukeensis,2025.0,2025.0,1
Acer spicatum,Bombus ternarius,2013.0,2021.0,2
Acer spicatum,Bombus vagans,2024.0,2024.0,1
Acer spicatum,Eristalis flavipes,2021.0,2021.0,1
Acer spicatum,Erynnis juvenalis,2024.0,2024.0,1
Acer spicatum,Papilio canadensis,2025.0,2025.0,1
Acer spicatum,Temnostoma venustum,2025.0,2025.0,1
Achillea filipendulina,Acmaeodera pulchella,2022.0,2022.0,2
Achillea filipendulina,Anthrenus isabellinus,2014.0,2022.0,3
Achillea filipendulina,Anthrenus verbasci,2024.0,2024.0,1
Achillea filipendulina,Apis mellifera,2022.0,2022.0,1
Achillea filipendulina,Bombus huntii,2021.0,2021.0,1
Achillea filipendulina,Chauliognathus marginatus,2022.0,2022.0,1
Achillea filipendulina,Coleomegilla maculata,2022.0,2022.0,1
Achillea filipendulina,Eremnophila aureonotata,2022.0,2022.0,1
Achillea filipendulina,Eristalis arbustorum,2022.0,2022.0,3
Achillea filipendulina,Eristalis tenax,2022.0,2022.0,1
Achillea filipendulina,Eristalis transversa,2022.0,2022.0,1
Achillea filipendulina,Euodynerus hidalgo,2022.0,2022.0,1
Achillea filipendulina,Gibbobruchus mimus,2022.0,2022.0,2
Achillea filipendulina,Halictus ligatus,2020.0,2025.0,7
Achillea filipendulina,Halictus tripartitus,2023.0,2023.0,1
Achillea filipendulina,Lepidophora lutea,2022.0,2022.0,1
Achillea filipendulina,Orthonevra nitida,2022.0,2022.0,1
Achillea filipendulina,Polistes dominula,2022.0,2022.0,1
Achillea filipendulina,Pyrausta orphisalis,2022.0,2022.0,1
Achillea filipendulina,Satyrium calanus,2022.0,2022.0,1
Achillea filipendulina,Sphaerophoria contigua,2022.0,2024.0,3
Achillea filipendulina,Sphecius speciosus,2022.0,2022.0,3
Achillea filipendulina,Syritta pipiens,2018.0,2023.0,6
Achillea filipendulina,Toxomerus geminatus,2022.0,2022.0,1
Achillea filipendulina,Toxomerus marginatus,2022.0,2025.0,2
Achillea millefolium,Achyra rantalis,2020.0,2022.0,2
Achillea millefolium,Acmaeodera connexa,2020.0,2020.0,1
Achillea millefolium,Acmaeodera diffusa,2020.0,2020.0,1
Achillea millefolium,Acmaeodera hepburnii,2015.0,2015.0,2
Achillea millefolium,Acmaeodera pulchella,2000.0,2008.0,4
Achillea millefolium,Adalia bipunctata,2024.0,2024.0,5
Achillea millefolium,Adela septentrionella,2009.0,2025.0,46
Achillea millefolium,Aedes albopictus,2022.0,2022.0,2
Achillea millefolium,Agapostemon sericeus,2021.0,2021.0,1
Achillea millefolium,Agapostemon texanus,2014.0,2023.0,7
Achillea millefolium,Agapostemon virescens,2012.0,2022.0,3
Achillea millefolium,Albuna pyramidalis,2016.0,2016.0,2
Achillea millefolium,Allograpta obliqua,2018.0,2025.0,9
Achillea millefolium,Alypia octomaculata,2021.0,2025.0,2
Achillea millefolium,Ammophila pictipennis,2023.0,2023.0,3
Achillea millefolium,Anacrabro ocellatus,2023.0,2025.0,2
Achillea millefolium,Anageshna primordialis,2023.0,2023.0,1
Achillea millefolium,Anania funebris,2021.0,2021.0,1
Achillea millefolium,Anastrangalia laetifica,2010.0,2024.0,3
Achillea millefolium,Ancistrocerus adiabatus,2019.0,2025.0,6
Achillea millefolium,Ancistrocerus bustamente,2021.0,2021.0,1
Achillea millefolium,Ancistrocerus catskill,2023.0,2023.0,2
Achillea millefolium,Ancistrocerus gazella,2008.0,2008.0,1
Achillea millefolium,Ancistrocerus tuberculocephalus,2018.0,2018.0,2
Achillea millefolium,Ancyloxypha numitor,2022.0,2022.0,1
Achillea millefolium,Andrena amphibola,2010.0,2015.0,2
Achillea millefolium,Andrena crataegi,2023.0,2023.0,1
Achillea millefolium,Andrena erythrogaster,,,0
Achillea millefolium,Andrena hirticincta,2019.0,2021.0,2
Achillea millefolium,Andrena milwaukeensis,2015.0,2015.0,1
Achillea millefolium,Andrena miserabilis,2021.0,2021.0,1
Achillea millefolium,Andrena nigrocaerulea,2021.0,2021.0,1
Achillea millefolium,Andrena nivalis,2015.0,2015.0,1
Achillea millefolium,Andrena pallidifovea,2010.0,2022.0,4
Achillea millefolium,Andrena prunorum,2010.0,2025.0,20
Achillea millefolium,Andrena trevoris,2015.0,2015.0,1
Achillea millefolium,Andrena vicina,2023.0,2023.0,1
Achillea millefolium,Andrena wilkella,2023.0,2023.0,3
Achillea millefolium,Annaphila depicta,2022.0,2022.0,1
Achillea millefolium,Anomoea laticlavia,2023.0,2023.0,2
Achillea millefolium,Antherophagus ochraceus,2023.0,2023.0,1
Achillea millefolium,Anthidium manicatum,2016.0,2016.0,1
Achillea millefolium,Anthidium utahense,2014.0,2014.0,1
Achillea millefolium,Anthophora curta,2026.0,2026.0,1
Achillea millefolium,Anthophora walshii,,,0
Achillea millefolium,Anthrenus castaneae,2022.0,2022.0,1
Achillea millefolium,Anthrenus coloratus,2025.0,2025.0,1
Achillea millefolium,Anthrenus isabellinus,2014.0,2025.0,35
Achillea millefolium,Anthrenus lepidus,2024.0,2025.0,5
Achillea millefolium,Anthrenus scrophulariae,2025.0,2025.0,1
Achillea millefolium,Anthrenus verbasci,2015.0,2025.0,35
Achillea millefolium,Apis mellifera,2010.0,2025.0,40
Achillea millefolium,Areniscythris brachypteris,2021.0,2021.0,2
Achillea millefolium,Arge humeralis,2016.0,2023.0,4
Achillea millefolium,Argynnis coronis,2021.0,2022.0,4
Achillea millefolium,Asterocampa clyton,2023.0,2023.0,1
Achillea millefolium,Atrytone delaware,2007.0,2007.0,2
Achillea millefolium,Atrytonopsis hianna,2025.0,2025.0,1
Achillea millefolium,Attagenus brunneus,2025.0,2025.0,1
Achillea millefolium,Augochlora pura,2014.0,2024.0,8
Achillea millefolium,Augochlorella aurata,2022.0,2024.0,6
Achillea millefolium,Augochloropsis viridula,2025.0,2025.0,1
Achillea millefolium,Batyle suturalis,2021.0,2022.0,2
Achillea millefolium,Bembix americana,2013.0,2025.0,8
Achillea millefolium,Bembix amoena,2010.0,2010.0,1
Achillea millefolium,Bicyrtes quadrifasciatus,2022.0,2025.0,5
Achillea millefolium,Bombus,2020.0,2023.0,2
Achillea millefolium,Bombus affinis,2025.0,2025.0,1
Achillea millefolium,Bombus auricomus,2025.0,2025.0,1
Achillea millefolium,Bombus bifarius,2009.0,2024.0,14
Achillea millefolium,Bombus bimaculatus,2021.0,2023.0,3
Achillea millefolium,Bombus borealis,2023.0,2023.0,1
Achillea millefolium,Bombus centralis,2019.0,2019.0,4
Achillea millefolium,Bombus fervidus,2015.0,2024.0,2
Achillea millefolium,Bombus flavidus,2020.0,2022.0,4
Achillea millefolium,Bombus flavifrons,2014.0,2020.0,2
Achillea millefolium,Bombus fraternus,2025.0,2025.0,1
Achillea millefolium,Bombus frigidus,2023.0,2023.0,1
Achillea millefolium,Bombus griseocollis,2017.0,2025.0,12
Achillea millefolium,Bombus huntii,2022.0,2022.0,1
Achillea millefolium,Bombus impatiens,2019.0,2025.0,20
Achillea millefolium,Bombus insularis,2022.0,2023.0,2
Achillea millefolium,Bombus melanopygus,2009.0,2022.0,7
Achillea millefolium,Bombus mixtus,2018.0,2025.0,5
Achillea millefolium,Bombus nevadensis,2024.0,2024.0,1
Achillea millefolium,Bombus occidentalis,2019.0,2025.0,3
Achillea millefolium,Bombus pensylvanicus,2020.0,2021.0,2
Achillea millefolium,Bombus rufocinctus,2020.0,2024.0,5
Achillea millefolium,Bombus sitkensis,2018.0,2025.0,2
Achillea millefolium,Bombus ternarius,2023.0,2024.0,5
Achillea millefolium,Bombus terricola,2021.0,2023.0,3
Achillea millefolium,Bombus vagans,2025.0,2025.0,1
Achillea millefolium,Bombus vancouverensis,2025.0,2025.0,8
Achillea millefolium,Bombus vosnesenskii,2018.0,2025.0,12
Achillea millefolium,Bombylius major,2010.0,2010.0,1
Achillea millefolium,Brachyleptura rubrica,2020.0,2024.0,5
Achillea millefolium,Brachyleptura vagans,2022.0,2022.0,1
Achillea millefolium,Brachysomida californica,2021.0,2021.0,1
Achillea millefolium,Brephidium exilis,2022.0,2022.0,1
Achillea millefolium,Bruchidius villosus,2025.0,2025.0,2
Achillea millefolium,Burnsius communis,2016.0,2025.0,4
Achillea millefolium,Calleida punctata,2024.0,2024.0,1
Achillea millefolium,Calliopsis andreniformis,2017.0,2024.0,5
Achillea millefolium,Calliopsis personata,2024.0,2024.0,1
Achillea millefolium,Callophrys muiri,2017.0,2026.0,7
Achillea millefolium,Calophasia lunula,2021.0,2021.0,1
Achillea millefolium,Calycopis cecrops,2023.0,2024.0,3
Achillea millefolium,Cantharis livida,2023.0,2023.0,1
Achillea millefolium,Carterocephalus mandan,2014.0,2020.0,2
Achillea millefolium,Cauchas cockerelli,2025.0,2025.0,1
Achillea millefolium,Celastrina lucia,2019.0,2019.0,1
Achillea millefolium,Ceratina acantha,2014.0,2017.0,5
Achillea millefolium,Ceratina nanula,2009.0,2015.0,3
Achillea millefolium,Ceratina strenua,2025.0,2025.0,1
Achillea millefolium,Cerceris fumipennis,2019.0,2023.0,5
Achillea millefolium,Cerceris insolita,2023.0,2024.0,3
Achillea millefolium,Cerceris kennicottii,2022.0,2025.0,2
Achillea millefolium,Cercyonis oetus,2014.0,2019.0,3
Achillea millefolium,Cercyonis pegala,2021.0,2024.0,2
Achillea millefolium,Chalcosyrphus piger,2023.0,2025.0,2
Achillea millefolium,Chauliognathus marginatus,2005.0,2025.0,159
Achillea millefolium,Chauliognathus pensylvanicus,2017.0,2021.0,2
Achillea millefolium,Chlosyne acastus,2025.0,2025.0,2
Achillea millefolium,Chlosyne gabbii,2004.0,2004.0,1
Achillea millefolium,Chlosyne harrisii,2006.0,2022.0,2
Achillea millefolium,Chlosyne palla,2017.0,2021.0,5
Achillea millefolium,Choreutis pariana,2019.0,2019.0,1
Achillea millefolium,Chrysanthrax cypris,2019.0,2025.0,3
Achillea millefolium,Chrysops geminatus,2024.0,2024.0,1
Achillea millefolium,Cisseps fulvicollis,2006.0,2023.0,5
Achillea millefolium,Clossiana toddi,2019.0,2023.0,2
Achillea millefolium,Coccinella californica,2021.0,2021.0,1
Achillea millefolium,Coccinella septempunctata,2021.0,2026.0,20
Achillea millefolium,Coccinella trifasciata,2022.0,2022.0,1
Achillea millefolium,Coelioxys octodentatus,2021.0,2021.0,1
Achillea millefolium,Coelioxys rufitarsis,2018.0,2018.0,1
Achillea millefolium,Coenonympha california,2001.0,2025.0,27
Achillea millefolium,Coleomegilla maculata,2022.0,2024.0,4
Achillea millefolium,Coleophora deauratella,2023.0,2023.0,1
Achillea millefolium,Colias eurytheme,2023.0,2023.0,2
Achillea millefolium,Colias interior,2025.0,2025.0,1
Achillea millefolium,Colias philodice,2021.0,2021.0,1
Achillea millefolium,Collops tricolor,2010.0,2010.0,1
Achillea millefolium,Compsomyiops callipes,2018.0,2018.0,1
Achillea millefolium,Conophorus sackenii,2014.0,2017.0,7
Achillea millefolium,Copestylum lentum,2019.0,2019.0,2
Achillea millefolium,Copestylum vittatum,2021.0,2021.0,2
Achillea millefolium,Cortodera subpilosa,2010.0,2024.0,30
